INFO: set random seed: 1111
INFO: Using device : cuda
	GPU ID is [0],using 1 device
	device name:NVIDIA GeForce RTX 4060 Ti
INFO: ============ Start  train ==============
INFO: Creating total train dataset with 13598 examples
INFO: Creating factual train dataset with 13598 examples
INFO: Creating total val dataset with 3626 examples
INFO: Creating factual val dataset with 3626 examples
INFO: Creating total val_3d dataset with 8060 examples
INFO: Creating factual val_3d dataset with 8060 examples
INFO: Train Data: Labeled data is: <1359>, Total data is: 13598
INFO: Starting training:
	start_time:     2025-10-17 17:14:04
	base_dir:       res-t2_t1ce-FullCMC-BraTs-seed-2-CMC-10%_seed_1111
	data_path:      A:\Dat\semi-CML-public\dataset\BraTS_slice
	train_list:     randP1_slice_nidus_train.list
	val_list:       randP1_slice_nidus_val.list
	img_mode:       t2_t1ce
	lr_scheduler:   warmupMultistep
	max_epoch:      81
	batch_size:     24
	labeled_bs:     20
	labeled_rate:   0.1
	unsup_epoch:    0
	images_rate:    1
	base_lr:        0.006
	step_num_lr:    4
	weight_decay:   0.0004
	optim_name:     adam
	loss_name:      bce
	bce_w:          10.0
	dice_w:         7.0
	consistency:    1.0
	cons_ramp_type: sig_ram
	nce_weight:     3.5
	sur_siml:       dice
	pHead_sur:      set_false
	M2_epoch:       51
	T_epoch:        10
	T_num:          4
	bma_update_pool_num:6
	M2_epoch_all:   0
	m1_alpha:       0.1
	m2_alpha:       0.1
	teach_m2_WP_epoch:3
	start_fusion_epoch:30
	will_eval:      0
	val_3d_interval:4
	Net Name:		CMCNet
	Input Channel:	1
	Classes Num:	1
	Images Shape:	160*160
INFO: Epoch:[000/081], Train Loss: 1.2242 , Sup Loss 1.2242, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.5532 mode2 0.4013 ,LR: 0.001500
INFO: Epoch:[001/081], Train Loss: 1.0814 , Sup Loss 1.0814, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.6230 mode2 0.5300 ,LR: 0.002250
INFO: Epoch:[002/081], Train Loss: 1.0389 , Sup Loss 1.0389, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.6484 mode2 0.5058 ,LR: 0.003000
INFO: Epoch:[003/081], Train Loss: 1.0393 , Sup Loss 1.0393, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.6466 mode2 0.4663 ,LR: 0.003750
INFO: Epoch:[004/081], Train Loss: 1.0310 , Sup Loss 1.0310, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.6521 mode2 0.4875 ,LR: 0.004500
INFO: Epoch:[005/081], Train Loss: 1.0403 , Sup Loss 1.0403, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.6422 mode2 0.4592 ,LR: 0.005250
INFO: Epoch:[006/081], Train Loss: 1.0293 , Sup Loss 1.0293, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.6618 mode2 0.4643 ,LR: 0.006000
INFO: Epoch:[007/081], Train Loss: 1.0709 , Sup Loss 1.0709, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.5912 mode2 0.4012 ,LR: 0.006000
INFO: Epoch:[008/081], Train Loss: 1.0374 , Sup Loss 1.0374, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.6403 mode2 0.4706 ,LR: 0.006000
INFO: Epoch:[009/081], Train Loss: 1.0159 , Sup Loss 1.0159, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.6733 mode2 0.4979 ,LR: 0.006000
INFO: Epoch:[010/081], Train Loss: 1.0058 , Sup Loss 1.0058, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.6874 mode2 0.5310 ,LR: 0.006000
INFO: Epoch:[011/081], Train Loss: 1.0053 , Sup Loss 1.0053, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.6839 mode2 0.5518 ,LR: 0.000600
INFO: Epoch:[012/081], Train Loss: 0.9878 , Sup Loss 0.9878, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.7112 mode2 0.5908 ,LR: 0.000600
INFO: Epoch:[013/081], Train Loss: 0.9732 , Sup Loss 0.9732, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.7327 mode2 0.6042 ,LR: 0.000600
INFO: Epoch:[014/081], Train Loss: 0.9669 , Sup Loss 0.9669, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.7409 mode2 0.6224 ,LR: 0.000600
INFO: Epoch:[015/081], Train Loss: 0.9668 , Sup Loss 0.9668, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.7415 mode2 0.6228 ,LR: 0.000600
INFO: Epoch:[016/081], Train Loss: 0.9615 , Sup Loss 0.9615, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.7496 mode2 0.6288 ,LR: 0.000600
INFO: Epoch:[017/081], Train Loss: 0.9560 , Sup Loss 0.9560, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.7593 mode2 0.6459 ,LR: 0.000600
INFO: Epoch:[018/081], Train Loss: 0.9543 , Sup Loss 0.9543, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.7621 mode2 0.6488 ,LR: 0.000600
INFO: Epoch:[019/081], Train Loss: 0.9506 , Sup Loss 0.9506, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.7677 mode2 0.6517 ,LR: 0.000600
INFO: Epoch:[020/081], Train Loss: 0.9513 , Sup Loss 0.9513, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.7669 mode2 0.6500 ,LR: 0.000600
INFO: Epoch:[021/081], Train Loss: 0.9521 , Sup Loss 0.9521, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.7652 mode2 0.6572 ,LR: 0.000600
INFO: Epoch:[022/081], Train Loss: 0.9443 , Sup Loss 0.9443, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.7791 mode2 0.6634 ,LR: 0.000600
INFO: Epoch:[023/081], Train Loss: 0.9443 , Sup Loss 0.9443, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.7809 mode2 0.6589 ,LR: 0.000600
INFO: Epoch:[024/081], Train Loss: 0.9433 , Sup Loss 0.9433, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.7831 mode2 0.6644 ,LR: 0.000600
INFO: Epoch:[025/081], Train Loss: 0.9424 , Sup Loss 0.9424, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.7833 mode2 0.6681 ,LR: 0.000600
INFO: Epoch:[026/081], Train Loss: 0.9384 , Sup Loss 0.9384, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.7889 mode2 0.6727 ,LR: 0.000600
INFO: Epoch:[027/081], Train Loss: 0.9363 , Sup Loss 0.9363, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.7938 mode2 0.6769 ,LR: 0.000060
INFO: Epoch:[028/081], Train Loss: 0.9301 , Sup Loss 0.9301, CSC_Loss 0.0000, CAC_loss 0.0000 , Train Dice: mode1 0.8054 mode2 0.6945 ,LR: 0.000060
